"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1118","Normal/Others","WS/MP423/2024-2025/137579-Construction of roads, link roads, pathways or any other road with or without drainage system","West Bengal","South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA)","Shri Abhishek Banerjee","DIAMOND HARBOUR","Construction of CC road with surface drain from near H/O Ranjan Chatterjee to Netaji Road at Ward No.16 (25.20 mtr.)","28-Aug-2024","24-Dec-2024","146069","Physical Inspection"
"1119","Normal/Others","WS/MP18006/2024-2025/137584-Providing supply pipelines for drinking water","Andhra Pradesh","Tirupati(DISTRICT COLLECTOR TIRUPATI_IDA)","DAGGUMALLA PRASADA RAO","CHITTOOR","Providing Motor & Pump for drinking suplay to the residential area of Indiramma Indlu, Daminedu Village, Tiruchanuru (P), Tirupati Rural Mandal, Chandragiri Constituency.","28-Aug-2024","23-Oct-2024","49407","Physical Inspection"
"1120","Normal/Others","WS/MP18019/2024-2025/137586-Construction of roads, link roads, pathways or any other road with or without drainage system","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of road from PWD road to Graveyard at Rongbangpothar","29-Aug-2024","04-Jan-2025","2000000","Physical Inspection"
"1121","Normal/Others","WS/MP18019/2024-2025/137587-Construction of community centers and community halls","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of Open Stage at Gangjang","29-Aug-2024","13-Nov-2024","1500000","Physical Inspection"
"1122","Normal/Others","WS/MP18019/2024-2025/137588-Construction of community centers and community halls","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of Community Hall at Jawlian under Singhason MAC Constituency","29-Aug-2024","13-Nov-2024","1500000","Physical Inspection"
"1123","Normal/Others","WS/MP18019/2024-2025/137589-Tree plantation for community","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Tree Plantation for providing self sufficiency to the 06 (six) Nos. of Ex-Revolutionary Cadre under the Banner of ""KERUP- Karbi Ex-Revolutionary United Forum""","29-Aug-2024","25-Oct-2024","1000000","Work Completed"
"1124","Normal/Others","WS/MP18019/2024-2025/137591-Construction of bus-sheds or bus-stops","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of waiting shed at Minbung under Singhason MAC Constituency","29-Aug-2024","13-Nov-2024","1000000","Physical Inspection"
"1125","Normal/Others","WS/MP18019/2024-2025/137592-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of 3 Nos. Ringwell at Sar-et Senar village, @3.00 L x 3 Nos.","29-Aug-2024","25-Oct-2024","900000","Physical Inspection"
"1126","Normal/Others","WS/MP18019/2024-2025/137593-Construction of community centers and community halls","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of open stage infront of Siloni LP School","29-Aug-2024","25-Oct-2024","800000","Work partially Completed"
"1127","Normal/Others","WS/MP18019/2024-2025/137594-Creation of new ponds","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of community fishery at Rongkimi, Diphu","29-Aug-2024","25-Oct-2024","500000","Physical Inspection"
"1128","Normal/Others","WS/MP18019/2024-2025/137595-Creation of new ponds","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of community fishery at Longnit","29-Aug-2024","25-Oct-2024","500000","Physical Inspection"
"1129","Repair and Renovation","WS/MP18019/2024-2025/137596-Construction of community centers and community halls","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Improvement of open stage at Govt. Boys Higher Secondary playground, Diphu","29-Aug-2024","21-Dec-2024","499190","Physical Inspection"
"1130","Normal/Others","WS/MP18019/2024-2025/137597-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Sri Elison Terang, Mohendijua","29-Aug-2024","25-Oct-2024","400000","Work partially Completed"
"1131","Normal/Others","WS/MP18019/2024-2025/137598-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Lt. Thangsing Tisso, Mohendijua","29-Aug-2024","25-Oct-2024","400000","Physical Inspection"
"1132","Normal/Others","WS/MP18019/2024-2025/137599-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Sri Dosarath Tisso, Rongnihang","29-Aug-2024","25-Oct-2024","400000","Physical Inspection"
"1133","Normal/Others","WS/MP18019/2024-2025/137600-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Sri Rajen Kro, PWD Colony, Diphu","29-Aug-2024","25-Oct-2024","400000","Physical Inspection"
"1134","Normal/Others","WS/MP18019/2024-2025/137601-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Smt. Meera Tissopi, Mohendijua","29-Aug-2024","25-Oct-2024","300000","Physical Inspection"
"1135","Normal/Others","WS/MP18019/2024-2025/137602-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Smt. Moina Terangpi, Rongtheang","29-Aug-2024","25-Oct-2024","300000","Physical Inspection"
"1136","Normal/Others","WS/MP18019/2024-2025/137603-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Smt. Minu Teronpi, Biren Kramsa village","29-Aug-2024","25-Oct-2024","300000","Physical Inspection"
"1137","Normal/Others","WS/MP18019/2024-2025/137604-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Smt Rengka Teronpi, Manja College","29-Aug-2024","25-Oct-2024","300000","Physical Inspection"
"1138","Normal/Others","WS/MP18019/2024-2025/137605-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Smt Sika Tokbipi, Cheksolangso","29-Aug-2024","25-Oct-2024","300000","Physical Inspection"
"1139","Normal/Others","WS/MP18019/2024-2025/137606-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near the house of Smt Klarie Phangchopi, Rongnagar","29-Aug-2024","25-Oct-2024","300000","Physical Inspection"
"1140","Normal/Others","WS/MP18019/2024-2025/137607-Installing tube-wells and borewells","Assam","KARBI ANGLONG(DEPUTY COMMISSIONER KARBI ANGLONG_IDA)","AMARSING TISSO","Diphu (ST)","Construction of ringwell near West Tarabasa English LP School, Phuloni","29-Aug-2024","25-Oct-2024","300000","Physical Inspection"
