"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"9970","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","khyaliram saini","Payment Success","3705"
"9971","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","surendra saini","Payment Success","3990"
"9972","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","ravindra saini","Payment Success","3990"
"9973","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18163/2025-2026/255821","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","12-May-2026","sunil","Payment Success","3990"
"9974","West Bengal","Construction of buildings for sports facilities","WS/MP823/2025-2026/229077","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Ms Mahua Moitra","KRISHNANAGAR","19-Mar-2026","NAMDAR SK","Payment Success","550698"
"9975","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2025-2026/261862","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","29-Apr-2026","GRAM PANCHAYAT RAIKHEDI SFC","Payment Success","50355"
"9976","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2025-2026/261862","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","23-Mar-2026","GRAM PANCHAYAT RAIKHEDI SFC","Payment Success","65000"
"9977","West Bengal","Lighting of public spaces","WS/MP18251/2025-2026/196829","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","SAYANI GHOSH","JADAVPUR","16-Mar-2026","ANAMICA ENTERPRISE","Payment Success","795828"
"9978","West Bengal","Lighting of public spaces","WS/MP18251/2025-2026/196827","KOLKATA(COMMISSIONER KOLKATA MUNICIPAL CORPORATION_IDA)","SAYANI GHOSH","JADAVPUR","16-Mar-2026","ANAMICA ENTERPRISE","Payment Success","796330"
"9979","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18112/2025-2026/233413","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","22-Mar-2026","TUSHAR SUBHASHRAO THAKARE","Payment Success","998775"
"9980","Punjab","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18154/2025-2026/219554","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","17-Mar-2026","S SCEMENT PIPE FACTORY","Payment Success","302500"
"9981","Mizoram","Construction of community centers and community halls","WS/MP18138/2025-2026/217434","LAWNGTLAI(DSC Lawngtlai)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","14-Jul-2026","V LALRINKIMI","Payment Success","250000"
"9982","Mizoram","Construction of community centers and community halls","WS/MP18138/2025-2026/217434","LAWNGTLAI(DSC Lawngtlai)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","17-Mar-2026","V LALRINKIMI","Payment Success","250000"
"9983","Punjab","Street lights","WS/MP18314/2025-2026/190993","SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","27-Mar-2026","MEGA INTERPRISE","Payment Success","101775"
